label,is_uppercase,filename
0,False,glyphs/0-0.png
0,False,glyphs/0-1.png
0,False,glyphs/0-2.png
0,False,glyphs/0-3.png
0,False,glyphs/0-4.png
0,False,glyphs/0-5.png
0,False,glyphs/0-6.png
0,False,glyphs/0-7.png
0,False,glyphs/0-8.png
0,False,glyphs/0-9.png
0,False,glyphs/0-10.png
0,False,glyphs/0-11.png
0,False,glyphs/0-12.png
0,False,glyphs/0-13.png
0,False,glyphs/0-14.png
0,False,glyphs/0-15.png
0,False,glyphs/0-16.png
0,False,glyphs/0-17.png
0,False,glyphs/0-18.png
0,False,glyphs/0-19.png
0,False,glyphs/0-20.png
0,False,glyphs/0-21.png
0,False,glyphs/0-22.png
0,False,glyphs/0-23.png
0,False,glyphs/0-24.png
0,False,glyphs/0-25.png
0,False,glyphs/0-26.png
0,False,glyphs/0-27.png
0,False,glyphs/0-28.png
0,False,glyphs/0-29.png
0,False,glyphs/0-30.png
0,False,glyphs/0-31.png
0,False,glyphs/0-32.png
0,False,glyphs/0-33.png
0,False,glyphs/0-34.png
0,False,glyphs/0-35.png
0,False,glyphs/0-36.png
0,False,glyphs/0-37.png
0,False,glyphs/0-38.png
0,False,glyphs/0-39.png
0,False,glyphs/0-40.png
0,False,glyphs/0-41.png
0,False,glyphs/0-42.png
0,False,glyphs/0-43.png
0,False,glyphs/0-44.png
0,False,glyphs/0-45.png
0,False,glyphs/0-46.png
0,False,glyphs/0-47.png
0,False,glyphs/0-48.png
0,False,glyphs/0-49.png
1,False,glyphs/1-0.png
1,False,glyphs/1-1.png
1,False,glyphs/1-2.png
1,False,glyphs/1-3.png
1,False,glyphs/1-4.png
1,False,glyphs/1-5.png
1,False,glyphs/1-6.png
1,False,glyphs/1-7.png
1,False,glyphs/1-8.png
1,False,glyphs/1-9.png
1,False,glyphs/1-10.png
1,False,glyphs/1-11.png
1,False,glyphs/1-12.png
1,False,glyphs/1-13.png
1,False,glyphs/1-14.png
1,False,glyphs/1-15.png
1,False,glyphs/1-16.png
1,False,glyphs/1-17.png
1,False,glyphs/1-18.png
1,False,glyphs/1-19.png
1,False,glyphs/1-20.png
1,False,glyphs/1-21.png
1,False,glyphs/1-22.png
1,False,glyphs/1-23.png
1,False,glyphs/1-24.png
1,False,glyphs/1-25.png
1,False,glyphs/1-26.png
1,False,glyphs/1-27.png
1,False,glyphs/1-28.png
1,False,glyphs/1-29.png
1,False,glyphs/1-30.png
1,False,glyphs/1-31.png
1,False,glyphs/1-32.png
1,False,glyphs/1-33.png
1,False,glyphs/1-34.png
1,False,glyphs/1-35.png
1,False,glyphs/1-36.png
1,False,glyphs/1-37.png
1,False,glyphs/1-38.png
1,False,glyphs/1-39.png
1,False,glyphs/1-40.png
1,False,glyphs/1-41.png
1,False,glyphs/1-42.png
1,False,glyphs/1-43.png
1,False,glyphs/1-44.png
1,False,glyphs/1-45.png
1,False,glyphs/1-46.png
1,False,glyphs/1-47.png
1,False,glyphs/1-48.png
1,False,glyphs/1-49.png
2,False,glyphs/2-0.png
2,False,glyphs/2-1.png
2,False,glyphs/2-2.png
2,False,glyphs/2-3.png
2,False,glyphs/2-4.png
2,False,glyphs/2-5.png
2,False,glyphs/2-6.png
2,False,glyphs/2-7.png
2,False,glyphs/2-8.png
2,False,glyphs/2-9.png
2,False,glyphs/2-10.png
2,False,glyphs/2-11.png
2,False,glyphs/2-12.png
2,False,glyphs/2-13.png
2,False,glyphs/2-14.png
2,False,glyphs/2-15.png
2,False,glyphs/2-16.png
2,False,glyphs/2-17.png
2,False,glyphs/2-18.png
2,False,glyphs/2-19.png
2,False,glyphs/2-20.png
2,False,glyphs/2-21.png
2,False,glyphs/2-22.png
2,False,glyphs/2-23.png
2,False,glyphs/2-24.png
2,False,glyphs/2-25.png
2,False,glyphs/2-26.png
2,False,glyphs/2-27.png
2,False,glyphs/2-28.png
2,False,glyphs/2-29.png
2,False,glyphs/2-30.png
2,False,glyphs/2-31.png
2,False,glyphs/2-32.png
2,False,glyphs/2-33.png
2,False,glyphs/2-34.png
2,False,glyphs/2-35.png
2,False,glyphs/2-36.png
2,False,glyphs/2-37.png
2,False,glyphs/2-38.png
2,False,glyphs/2-39.png
2,False,glyphs/2-40.png
2,False,glyphs/2-41.png
2,False,glyphs/2-42.png
2,False,glyphs/2-43.png
2,False,glyphs/2-44.png
2,False,glyphs/2-45.png
2,False,glyphs/2-46.png
2,False,glyphs/2-47.png
2,False,glyphs/2-48.png
2,False,glyphs/2-49.png
3,False,glyphs/3-0.png
3,False,glyphs/3-1.png
3,False,glyphs/3-2.png
3,False,glyphs/3-3.png
3,False,glyphs/3-4.png
3,False,glyphs/3-5.png
3,False,glyphs/3-6.png
3,False,glyphs/3-7.png
3,False,glyphs/3-8.png
3,False,glyphs/3-9.png
3,False,glyphs/3-10.png
3,False,glyphs/3-11.png
3,False,glyphs/3-12.png
3,False,glyphs/3-13.png
3,False,glyphs/3-14.png
